case,decision,objects,init,goal,semantic_items,before_objects_covered,before_init_covered,before_goal_covered,before_missing,before_ambiguous,before_contradictory,before_over_generated,change_points,categories,after_missing,after_ambiguous,after_contradictory,after_over_generated,notes
p01,NO REWRITE REQUIRED,15,30,4,49,15,30,4,0,0,0,0,0,,0,0,0,0,p01/rewrite_notes.md
p02,NO REWRITE REQUIRED,15,30,6,51,15,30,6,0,0,0,0,0,,0,0,0,0,p02/rewrite_notes.md
p03,NO REWRITE REQUIRED,22,44,7,73,22,44,7,0,0,0,0,0,,0,0,0,0,p03/rewrite_notes.md
p04,NO REWRITE REQUIRED,22,44,7,73,22,44,7,0,0,0,0,0,,0,0,0,0,p04/rewrite_notes.md
p05,NO REWRITE REQUIRED,22,44,8,74,22,44,8,0,0,0,0,0,,0,0,0,0,p05/rewrite_notes.md
p06,REWRITE REQUIRED,22,44,8,74,22,44,8,0,1,1,14,2,ambiguity; contradiction,0,0,0,0,p06/rewrite_notes.md
p07,NO REWRITE REQUIRED,22,44,9,75,22,44,9,0,0,0,0,0,,0,0,0,0,p07/rewrite_notes.md
p08,NO REWRITE REQUIRED,22,44,9,75,22,44,9,0,0,0,0,0,,0,0,0,0,p08/rewrite_notes.md
p09,REWRITE REQUIRED,29,58,10,97,29,58,10,0,0,1,42,1,contradiction,0,0,0,0,p09/rewrite_notes.md
p10,REWRITE REQUIRED,29,58,10,97,29,57,10,1,0,0,0,1,missing_rule,0,0,0,0,p10/rewrite_notes.md
p11,REWRITE REQUIRED,29,58,11,98,29,51,11,0,7,0,0,1,missing_rule,0,0,0,0,p11/rewrite_notes.md
p12,REWRITE REQUIRED,15,30,4,49,15,27,4,1,2,0,3,2,ambiguity; missing_rule,0,0,0,0,p12/rewrite_notes.md
p13,NO REWRITE REQUIRED,29,58,11,98,29,58,11,0,0,0,0,0,,0,0,0,0,p13/rewrite_notes.md
p14,NO REWRITE REQUIRED,29,58,12,99,29,58,12,0,0,0,0,0,,0,0,0,0,p14/rewrite_notes.md
p15,NO REWRITE REQUIRED,29,58,12,99,29,58,12,0,0,0,0,0,,0,0,0,0,p15/rewrite_notes.md
p16,REWRITE REQUIRED,37,74,13,124,37,61,13,0,10,3,3,2,ambiguity; contradiction,0,0,0,0,p16/rewrite_notes.md
p17,NO REWRITE REQUIRED,37,74,13,124,37,74,13,0,0,0,0,0,,0,0,0,0,p17/rewrite_notes.md
p18,REWRITE REQUIRED,37,74,14,125,37,71,14,0,4,1,4,3,ambiguity; contradiction,0,0,0,0,p18/rewrite_notes.md
p19,REWRITE REQUIRED,37,74,14,125,37,70,14,4,0,0,0,1,missing_rule,0,0,0,0,p19/rewrite_notes.md
p20,NO REWRITE REQUIRED,37,74,15,126,37,74,15,0,0,0,0,0,,0,0,0,0,p20/rewrite_notes.md
p21,NO REWRITE REQUIRED,37,74,15,126,37,74,15,0,0,0,0,0,,0,0,0,0,p21/rewrite_notes.md
p22,REWRITE REQUIRED,32,64,6,102,28,32,6,6,30,1,0,3,ambiguity; contradiction; missing_rule,0,0,0,0,p22/rewrite_notes.md
p23,NO REWRITE REQUIRED,15,30,4,49,15,30,4,0,0,0,0,0,,0,0,0,0,p23/rewrite_notes.md
p24,NO REWRITE REQUIRED,49,98,5,152,49,98,5,0,0,0,0,0,,0,0,0,0,p24/rewrite_notes.md
p25,REWRITE REQUIRED,83,166,7,256,83,160,7,1,0,5,5,2,contradiction; missing_rule,0,0,0,0,p25/rewrite_notes.md
p26,REWRITE REQUIRED,100,200,7,307,48,48,0,0,211,1,0,4,ambiguity; irregular_mapping; missing_rule,0,0,0,0,p26/rewrite_notes.md
p27,REWRITE REQUIRED,44,88,16,148,44,84,16,4,0,1,35,2,contradiction; missing_rule,0,0,0,0,p27/rewrite_notes.md
p28,REWRITE REQUIRED,44,88,16,148,44,82,16,0,7,0,35,2,ambiguity,0,0,0,0,p28/rewrite_notes.md
p29,NO REWRITE REQUIRED,44,88,17,149,44,88,17,0,0,0,0,0,,0,0,0,0,p29/rewrite_notes.md
p30,NO REWRITE REQUIRED,44,88,17,149,44,88,17,0,0,0,0,0,,0,0,0,0,p30/rewrite_notes.md
p31,REWRITE REQUIRED,44,88,18,150,44,88,18,0,1,0,35,1,ambiguity,0,0,0,0,p31/rewrite_notes.md
p32,NO REWRITE REQUIRED,44,88,18,150,44,88,18,0,0,0,0,0,,0,0,0,0,p32/rewrite_notes.md
p33,REWRITE REQUIRED,51,102,19,172,51,102,19,0,1,1,42,1,contradiction,0,0,0,0,p33/rewrite_notes.md
p34,NO REWRITE REQUIRED,15,30,5,50,15,30,5,0,0,0,0,0,,0,0,0,0,p34/rewrite_notes.md
p35,REWRITE REQUIRED,51,102,19,172,51,102,19,0,0,1,0,1,contradiction,0,0,0,0,p35/rewrite_notes.md
p36,NO REWRITE REQUIRED,51,102,20,173,51,102,20,0,0,0,0,0,,0,0,0,0,p36/rewrite_notes.md
p37,REWRITE REQUIRED,51,102,20,173,51,95,20,0,7,0,0,1,ambiguity,0,0,0,0,p37/rewrite_notes.md
p38,REWRITE REQUIRED,51,102,21,174,43,70,21,0,40,0,0,3,missing_rule,0,0,0,0,p38/rewrite_notes.md
p39,REWRITE REQUIRED,51,102,21,174,38,46,6,22,55,1,42,5,ambiguity; contradiction; irregular_mapping; missing_rule,0,0,0,0,p39/rewrite_notes.md
p40,NO REWRITE REQUIRED,58,116,22,196,58,116,22,0,0,0,0,0,,0,0,0,0,p40/rewrite_notes.md
p41,NO REWRITE REQUIRED,58,116,22,196,58,116,22,0,0,0,0,0,,0,0,0,0,p41/rewrite_notes.md
p42,REWRITE REQUIRED,58,116,23,197,43,69,23,1,61,0,2,4,ambiguity; contradiction; missing_rule,0,0,0,0,p42/rewrite_notes.md
p43,REWRITE REQUIRED,58,116,23,197,58,100,23,0,16,0,0,2,ambiguity,0,0,0,0,p43/rewrite_notes.md
p44,NO REWRITE REQUIRED,58,116,24,198,58,116,24,0,0,0,0,0,,0,0,0,0,p44/rewrite_notes.md
p45,NO REWRITE REQUIRED,15,30,5,50,15,30,5,0,0,0,0,0,,0,0,0,0,p45/rewrite_notes.md
p46,NO REWRITE REQUIRED,58,116,24,198,58,116,24,0,0,0,0,0,,0,0,0,0,p46/rewrite_notes.md
p47,REWRITE REQUIRED,66,132,25,223,66,123,25,0,9,2,0,2,contradiction,0,0,0,0,p47/rewrite_notes.md
p48,REWRITE REQUIRED,66,132,25,223,57,79,25,18,44,0,0,1,missing_rule,0,0,0,0,p48/rewrite_notes.md
p49,NO REWRITE REQUIRED,66,132,26,224,66,132,26,0,0,0,0,0,,0,0,0,0,p49/rewrite_notes.md
p50,NO REWRITE REQUIRED,66,132,26,224,66,132,26,0,0,0,0,0,,0,0,0,0,p50/rewrite_notes.md
