section,pddl_item,evidence,evidence_kind,unique,status,notes
objects,apt14,"Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,"X=1–14 yields this exact city, position, or airport identifier."
objects,pos14,"Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,"X=1–14 yields this exact city, position, or airport identifier."
objects,cit14,"Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,"X=1–14 yields this exact city, position, or airport identifier."
objects,tru14,"Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",deterministic_rule,true,covered,"The bounded construction/ranges yield this exact package, truck, or airplane identifier."
objects,obj143,"Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",deterministic_rule,true,covered,"The bounded construction/ranges yield this exact package, truck, or airplane identifier."
objects,obj142,"Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",deterministic_rule,true,covered,"The bounded construction/ranges yield this exact package, truck, or airplane identifier."
objects,obj141,"Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",deterministic_rule,true,covered,"The bounded construction/ranges yield this exact package, truck, or airplane identifier."
objects,apn4,"Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",deterministic_rule,true,covered,"The bounded construction/ranges yield this exact package, truck, or airplane identifier."
objects,apt13,"Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,"X=1–14 yields this exact city, position, or airport identifier."
objects,pos13,"Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,"X=1–14 yields this exact city, position, or airport identifier."
objects,cit13,"Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,"X=1–14 yields this exact city, position, or airport identifier."
objects,tru13,"Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",deterministic_rule,true,covered,"The bounded construction/ranges yield this exact package, truck, or airplane identifier."
