section,pddl_item,evidence,evidence_kind,unique,status,notes
"objects","package5","The packages are package5, package4, package3, package2, package1.","direct","true","covered",""
"objects","package4","The packages are package5, package4, package3, package2, package1.","direct","true","covered",""
"objects","package3","The packages are package5, package4, package3, package2, package1.","direct","true","covered",""
"objects","package2","The packages are package5, package4, package3, package2, package1.","direct","true","covered",""
"objects","package1","The packages are package5, package4, package3, package2, package1.","direct","true","covered",""
"objects","city10","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city9","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city8","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city7","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city6","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city5","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city4","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city3","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city2","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","city1","The cities are city10, city9, city8, city7, city6, city5, city4, city3, city2, city1.","direct","true","covered",""
"objects","truck10","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck9","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck8","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck7","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck6","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck5","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck4","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck3","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck2","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","truck1","The trucks are truck10, truck9, truck8, truck7, truck6, truck5, truck4, truck3, truck2, truck1.","direct","true","covered",""
"objects","plane4","The airplanes are plane4, plane3, plane2, plane1.","direct","true","covered",""
"objects","plane3","The airplanes are plane4, plane3, plane2, plane1.","direct","true","covered",""
"objects","plane2","The airplanes are plane4, plane3, plane2, plane1.","direct","true","covered",""
"objects","plane1","The airplanes are plane4, plane3, plane2, plane1.","direct","true","covered",""
"objects","city10-1","The locations are city10-1, city9-1, city8-1, city7-1, city6-1, city5-1, city4-1, city3-1, city2-1, city1-1, city10-2, city9-2, city8-2, city7-2, city6-2, city5-2, city4-2, city3-2, city2-2, city1-2.","direct","true","covered",""
"objects","city9-1","The locations are city10-1, city9-1, city8-1, city7-1, city6-1, city5-1, city4-1, city3-1, city2-1, city1-1, city10-2, city9-2, city8-2, city7-2, city6-2, city5-2, city4-2, city3-2, city2-2, city1-2.","direct","true","covered",""
