case,change_id,category,original_text,revised_text,reason_en,reason_zh,golden_evidence
p06,1,ambiguity,nine packages labeled from obj11 to obj33,"nine packages labeled obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, and obj33",The pseudo-range does not uniquely construct the nine golden labels and can imply 14 non-golden labels.,该伪范围无法唯一构造九个黄金标签，并可能暗示 14 个非黄金标签。,golden_problem.pddl:3: (:objects ... obj33 obj32 obj31 obj23 obj22 obj21 obj13 obj12 obj11) | golden_problem.pddl:4-5: (package obj11) ... (package obj33)
p06,2,contradiction,obj33 remains at apt3,obj33 is moved to apt3,The persistence word conflicts with obj33's golden initial location at pos3; only its goal is apt3.,该持续状态用词与 obj33 在 pos3 的黄金初始位置冲突；只有其目标位置是 apt3。,golden_problem.pddl:11: (at obj33 pos3) | golden_problem.pddl:14-15: (at obj33 apt3)
p09,1,contradiction,nine packages named obj11 through obj43,"twelve packages named obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, and obj43",Corrects the false count and replaces a pseudo-range that would over-generate 21 nonexistent package identifiers.,更正错误总数，并替换会过度生成 21 个不存在包裹标识符的伪范围。,"golden_problem.pddl:3: object declarations | golden_problem.pddl:4-6: (package obj11) through (package obj43), exactly twelve listed atoms"
p10,1,missing_rule,,The locations apt1 through apt4 are airports.,Adds the missing airport typing for apt3 through a bounded rule that expands to exactly the four golden airport atoms.,通过一条恰好展开为四个黄金机场原子的有界规则，补充 apt3 缺失的机场类型。,golden_problem.pddl:8-10: location and airport atoms for apt1 through apt4
p11,1,missing_rule,,The positions pos1 through pos4 and the airports apt1 through apt4 are all locations.,Adds exact bounded typing evidence for four location atoms and three airport atoms that were only generically or indirectly suggested.,为原文仅笼统或间接暗示的四个地点原子和三个机场原子增加精确有界的类型证据。,golden_problem.pddl:8-10: location and airport atoms for pos1 through pos4 and apt1 through apt4
p12,1,ambiguity,These are part of city cit1.,Position pos1 is part of city cit1.,Names pos1 as the subject of the required city-membership fact and removes three extra package-city implications.,明确以 pos1 作为所需城市隶属事实的主语，并消除三个额外的包裹—城市暗示。,golden_problem.pddl:9: (in-city pos1 cit1)
p12,2,missing_rule,,Both airports are locations.,"The immediately preceding sentence defines exactly apt1 and apt2 as the two airports, so this rule expands to exactly two location atoms.",紧邻前句恰好将 apt1 和 apt2 定义为两个机场，因此该规则恰好展开为两个地点原子。,golden_problem.pddl:6: (location apt1) and (location apt2)
p16,1,contradiction,"holding packages obj31, obj32, and obj33","along with packages obj31, obj32, and obj33",The original implies truck containment; the golden init instead has three package-at-pos3 atoms and no matching in atoms.,原文暗示包裹装在卡车内；黄金初始状态给出三个包裹位于 pos3 的原子，且没有相应的 in 原子。,golden_problem.pddl:14: (at obj31 pos3) | golden_problem.pddl:14: (at obj32 pos3) | golden_problem.pddl:14: (at obj33 pos3) | golden_domain.pddl:13-14: (at ?obj ?loc) and (in ?obj ?obj) are distinct predicates
p16,2,ambiguity,"within a specific city (cit1, cit2, cit3, cit4, cit5)","within its same-numbered city (cit1, cit2, cit3, cit4, cit5)",The original lists five cities without defining which position-airport pair belongs to which city; the same-number rule uniquely yields exactly the ten golden in-city atoms.,原文列出五座城市，却未定义位置—机场对与城市的对应关系；同编号规则唯一地产生恰好十个黄金 in-city 原子。,"golden_problem.pddl:16-19: (in-city pos1 cit1) through (in-city apt5 cit5), matched by shared numeric index"
p18,1,contradiction,three airplanes named apn1 and apn2,two airplanes named apn1 and apn2,The golden problem declares and types exactly two airplanes.,黄金问题只声明并标注了两架飞机。,golden_problem.pddl:3: apn2 apn1 | golden_problem.pddl:11-12: (airplane apn1) (airplane apn2)
p18,2,ambiguity,each containing locations such as,along with locations,"The original scope could suggest non-golden cross-city memberships; the revised phrase is only an inventory, followed by the retained exact mapping.",原作用域可能暗示黄金 PDDL 中不存在的跨城市归属；修订后仅表示清单，随后仍有保留的精确映射。,golden_problem.pddl:16-19: the ten exact (in-city ...) atoms
p18,3,ambiguity,"carrying obj51, obj52, and obj53","with packages obj51, obj52, and obj53",The golden init locates all three packages at pos5 and contains no loaded-cargo atoms.,黄金初始状态将三个包裹都置于 pos5，且不含任何装载关系原子。,golden_problem.pddl:15-16: (at tru5 pos5) (at obj51 pos5) (at obj52 pos5) (at obj53 pos5)
p19,1,missing_rule,,"For each index i from 1 through 5, position posi and airport apti are locations in city citi, where i is replaced by that index in all three identifiers.",A bounded index rule supplies the four missing city-membership atoms and expands to exactly the complete golden ten-pair family.,有界索引规则补足四个缺失的城市归属原子，并恰好展开为黄金 PDDL 中完整的十对关系。,"golden_problem.pddl:3: pos1..pos5, apt1..apt5, cit1..cit5 objects | golden_problem.pddl:8-11: city, location, and airport type atoms | golden_problem.pddl:16-19: ten exact (in-city ...) atoms"
p22,1,contradiction,"There are six packages, named package1 through package6, and each is located in different places across six cities, labeled city1 through city6.","There are six packages, named package1 through package6, and six cities, labeled city1 through city6.",Removes the unsupported implication that the six packages occupy different places; package3 and package4 are co-located.,删除六个包裹位于不同地点这一无依据的含义；package3 与 package4 位于同一地点。,golden_problem.pddl:68: (at package4 city1-1) | golden_problem.pddl:69: (at package3 city1-1)
p22,2,missing_rule,"Each city has a distinct location labeled city]-1 and an airport labeled city]-2 (for example, city1-1 and city1-2 for city1).","For each N from 1 through 6, cityN has a distinct location cityN-1 and an airport location cityN-2 (for example, city1-1 and city1-2 for city1).",Replaces malformed placeholders with a complete bounded construction rule and states both type facts for each airport location.,用完整的有界构造规则替换错误占位符，并说明每个机场地点的两项类型事实。,golden_problem.pddl:3-7: cityN-1 and cityN-2 objects for N=1..6 | golden_problem.pddl:28-45: location and airport type atoms | golden_problem.pddl:46-57: in-city atoms
p22,3,ambiguity,"The trucks are initially located at their corresponding city]-1 locations, and both airplanes are initially stationed at city4-2.","For each N from 1 through 6, truckN is initially located at cityN-1, and both airplanes are initially stationed at city4-2.",Makes the finite truck-to-location index correspondence explicit and uniquely expandable.,明确有限的卡车到地点索引对应关系，使其可唯一展开。,golden_problem.pddl:60: (at truck6 city6-1) | golden_problem.pddl:61: (at truck5 city5-1) | golden_problem.pddl:62: (at truck4 city4-1) | golden_problem.pddl:63: (at truck3 city3-1) | golden_problem.pddl:64: (at truck2 city2-1) | golden_problem.pddl:65: (at truck1 city1-1)
p25,1,contradiction,"Truck assignments: truck14 is at the first location in city14, truck13 at the first location in city13, continuing similarly down to truck1 at the first location in city1.","Truck assignments: trucks truck14, truck13, truck12, truck11, truck10, truck7, truck5, truck2, and truck1 are at the first location in their same-numbered cities, while trucks truck9, truck8, truck6, truck4, and truck3 are at the second location in their same-numbered cities.",The original continuation contradicts five golden second-location truck atoms and generates five false first-location atoms.,原有延续规则与五个黄金第二地点卡车原子矛盾，并生成五个错误的第一地点原子。,golden_problem.pddl:162: (at truck9 city9-2) | golden_problem.pddl:163: (at truck8 city8-2) | golden_problem.pddl:165: (at truck6 city6-2) | golden_problem.pddl:167: (at truck4 city4-2) | golden_problem.pddl:168: (at truck3 city3-2)
p25,2,missing_rule,,Package4 is situated at the first location in city8.,The original has no evidence for package4's golden initial location.,原文没有为 package4 的黄金初始位置提供证据。,golden_problem.pddl:176: (at package4 city8-1)
p26,1,missing_rule,Each city has several locations and some also have airports.,"For each N from 1 through 13, cityN has locations cityN-1, cityN-2, and cityN-3, plus the airport location cityN-4; all four locations are part of cityN.","A bounded rule is required to identify and type all 52 locations, all 13 airports, and all 52 city memberships.",需要有界规则来标识并定型全部 52 个地点、13 个机场及 52 个城市归属关系。,golden_problem.pddl:9-16: 52 location objects | golden_problem.pddl:65-129: location and airport type atoms | golden_problem.pddl:130-181: all (in-city ...) atoms
p26,2,irregular_mapping,"For the initial setup, planes and trucks are stationed in different locations within their respective cities. For example, plane1 is currently located at the airport in city2, while truck23 is at a location in city13.","For the initial setup, the planes and trucks are stationed as follows. Plane5 is at city12-4, plane4 at city8-4, plane3 at city6-4, plane2 at city13-4, and plane1 at city2-4. Truck23 is at city13-2, truck22 at city12-3, truck21 at city11-3, truck20 at city10-1, truck19 at city9-1, truck18 at city8-2, truck17 at city7-3, truck16 at city6-3, truck15 at city5-2, truck14 at city4-1, truck13 at city3-3, truck12 at city2-1, truck11 at city1-1, truck10 at city10-3, truck9 at city8-1, truck8 at city2-2, truck7 at city9-4, truck6 at city9-2, truck5 at city8-2, truck4 at city7-3, truck3 at city7-1, truck2 at city8-1, and truck1 at city5-4.","The original examples do not determine the irregular five-plane and 23-truck placement mapping, and the different-locations claim conflicts with three truck co-locations.",原有示例无法确定不规则的五架飞机和 23 辆卡车位置映射，且“不同地点”的说法与三组卡车共址事实冲突。,"golden_problem.pddl:182-186: five plane placements | golden_problem.pddl:187-209: 23 truck placements, including three co-located truck pairs"
p26,3,ambiguity,"The packages are distributed as follows: package7 is at the airport in city1, package6 is at a location in city2, package5 is at the same location as truck20 in city10, package4 is at the airport in city5, package3 is at a location in city11, package2 is at the same location as truck21 in city11, and package1 is at a location in city4.","The packages are distributed as follows: package7 is at city1-4, package6 is at city2-3, package5 is at city10-1, package4 is at city5-4, package3 is at city11-1, package2 is at city11-3, and package1 is at city4-2.",The exact seven package-location identifiers cannot be recovered from vague city-only or relational wording.,无法从模糊的仅城市或关系性措辞恢复七个精确的包裹—地点标识符。,golden_problem.pddl:210-216: seven package placements
p26,4,ambiguity,"My goal is to move these packages to specific destinations: package7 needs to reach a location in city12, package6 has to be delivered to a location in city9, package5 should be transported to the same location as package7 in city12, package4 is to be sent to the airport in city8, package3 needs to arrive at the airport in city13, package2 is to be delivered to a location in city7, and finally, package1 has to reach a location in city13.","My goal is to move these packages to specific destinations: package7 needs to reach city12-3, package6 has to be delivered to city9-3, package5 should be transported to city12-3, package4 is to be sent to city8-4, package3 needs to arrive at city13-4, package2 is to be delivered to city7-1, and finally, package1 has to reach city13-1.",Every conjunctive goal needs its exact destination because the mapping is irregular.,由于映射不规则，每个合取目标都需要精确目的地。,golden_problem.pddl:217-223: all seven goal atoms
p27,1,contradiction,"Initially, we have six packages in each city, numbered from obj11 to obj63.","Initially, we have 18 packages labeled obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, and obj63.",The original count is false and its pseudo-range can generate 35 non-golden package identifiers.,原有数量错误，且其伪范围可能生成 35 个非黄金包裹标识符。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47: exactly 18 package objects | golden_problem.pddl:50-67: exactly 18 package type atoms"
p27,2,missing_rule,,The locations apt1 through apt6 are airports.,"Adds the missing airport types for apt1, apt3, apt5, and apt6 through an exact finite range.",通过精确有限范围补充 apt1、apt3、apt5 和 apt6 缺失的机场类型。,golden_problem.pddl:92-97: (airport apt1) through (airport apt6)
p28,1,ambiguity,There are packages labeled obj11 through obj63 and trucks labeled tru1 through tru6.,"There are packages labeled obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, and obj63, and trucks labeled tru1 through tru6.",The pseudo-range can generate 35 non-golden identifiers; the exact list cannot.,伪范围可能生成 35 个非黄金标识符；精确列表不会。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47: exactly 18 package objects | golden_problem.pddl:50-67: exactly 18 package type atoms"
